request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay 15656000 today. Balance remains safe throughout 90-day forecast.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay 6670 today. Balance remains safe throughout 90-day forecast.
request_28,257.15,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,"Wait until 2024-08-15, then pay 1302.4 in full."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay 51524 today. Balance remains safe throughout 90-day forecast.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-05-08,none,Use 3 payments starting 2026-04-06.
request_31,3305311.1,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Wait until 2024-11-15, then pay 18164000 in full."
request_32,11690.58,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Wait until 2025-04-15, then pay 40018 in full."
request_33,38091.67,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Wait until 2026-03-15, then pay 118000 in full."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay 129400 today. Balance remains safe throughout 90-day forecast.
request_35,77323.42,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15, then pay 212000 in full."
request_36,554.77,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait until 2026-09-15, then pay 3954 in full."
request_37,2996471.72,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Wait until 2024-05-15, then pay 14649000 in full."
request_38,178.19,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,"Wait until 2025-10-15, then pay 971.3 in full."
request_39,203105.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_40,336.79,affordable_later,wait,2024-08-15:1290.3,2024-08-15,none,"Wait until 2024-08-15, then pay 1290.3 in full."
request_41,24809250.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay 52100 today. Balance remains safe throughout 90-day forecast.
request_43,15242750.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_44,26209.78,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Wait until 2025-04-15, then pay 95800 in full."
request_45,3979334.42,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait until 2026-09-15, then pay 21983000 in full."
request_46,37072.18,affordable_with_plan,partial_payment,2024-12-03:37072.18|2024-12-15:12377.82,2024-12-15,none,Pay 37072.18 today and remaining 12377.82 on 2024-12-15.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay 38114000 today. Balance remains safe throughout 90-day forecast.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay 45700 today. Balance remains safe throughout 90-day forecast.
request_49,11769056.21,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,Use 3 payments starting 2024-03-18.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay 43900 today. Balance remains safe throughout 90-day forecast.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay 2191000 today. Balance remains safe throughout 90-day forecast.
request_52,18136.25,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 2024-06-15, then pay 28870 in full."
request_53,496.96,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,Use 3 payments starting 2025-11-21.
request_54,16581.4,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_55,126168.67,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,none,Use 3 payments starting 2026-06-11.
request_56,594.27,affordable_with_plan,partial_payment,2025-02-03:594.27|2025-02-15:287.29,2025-02-15,none,Pay 594.27 today and remaining 287.29 on 2025-02-15.
request_57,13150.72,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 2026-06-15, then pay 61446 in full."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay 16226000 today. Balance remains safe throughout 90-day forecast.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-06-26,none,Use 3 payments starting 2025-05-07.
request_60,144.72,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,"Wait until 2026-02-15, then pay 199.89 in full."
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-05-15,none,Use 3 payments starting 2024-03-17.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay 404.23 today. Balance remains safe throughout 90-day forecast.
request_63,98295.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_64,62473.01,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_65,13024.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay 22200 today. Balance remains safe throughout 90-day forecast.
request_67,402.93,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Wait until 2024-11-15, then pay 2094 in full."
request_68,1510.03,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-04-15,none,Use 3 payments starting 2025-02-14.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay 529.1 today. Balance remains safe throughout 90-day forecast.
request_70,48706.22,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait until 2025-02-15, then pay 243900 in full."
request_71,7485050.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay 11330 today. Balance remains safe throughout 90-day forecast.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay 71400 today. Balance remains safe throughout 90-day forecast.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay 5010 today. Balance remains safe throughout 90-day forecast.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-05-15,none,Use 3 payments starting 2026-04-09.
request_76,1538.8,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay 60700 today. Balance remains safe throughout 90-day forecast.
request_78,101476.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_79,309.01,affordable_with_plan,partial_payment,2024-09-04:309.01|2024-10-15:1842.59,2024-10-15,none,Pay 309.01 today and remaining 1842.59 on 2024-10-15.
request_80,158825.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay 2076 today. Balance remains safe throughout 90-day forecast.
request_82,308.91,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,"Wait until 2025-02-15, then pay 1405.2 in full."
request_83,31130.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_84,62645.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_85,2422120.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay 46300 today. Balance remains safe throughout 90-day forecast.
request_87,92850.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_88,10329.26,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-08-15,none,Use 3 payments starting 2024-06-14.
request_89,9603049.24,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,none,Use 3 payments starting 2025-11-18.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay 2560 today. Balance remains safe throughout 90-day forecast.
request_91,519.68,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,"Wait until 2024-11-15, then pay 1927.2 in full."
request_92,50564.47,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay 1729.2 today. Balance remains safe throughout 90-day forecast.
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay 572 today. Balance remains safe throughout 90-day forecast.
request_95,137865.0,not_affordable,not_recommended,none,,none,Do not make this payment. No safe option available.
request_96,72424.57,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,Use 3 payments starting 2026-01-10.
